id;time;iter;thr;nproc
1;0.080031;100;1;1
2;0.076101;100;1;1
3;0.076822;100;1;1
4;0.076019;100;1;1
5;0.075215;100;1;1
6;0.074576;100;1;1
7;0.075869;100;1;1
8;0.077622;100;1;1
9;0.078031;100;1;1
10;0.077384;100;1;1
11;0.077077;100;1;1
12;0.078482;100;1;1
13;0.077630;100;1;1
14;0.076667;100;1;1
15;0.076863;100;1;1
16;0.077487;100;1;1
17;0.077119;100;1;1
18;0.080632;100;1;1
19;0.080356;100;1;1
20;0.080510;100;1;1
21;0.080406;100;1;1
22;0.081495;100;1;1
23;0.079221;100;1;1
24;0.079871;100;1;1
25;0.077660;100;1;1
26;0.078030;100;1;1
27;0.076939;100;1;1
28;0.079427;100;1;1
29;0.078880;100;1;1
30;0.078696;100;1;1
31;0.078522;100;1;1
32;0.075139;100;1;1
33;0.074451;100;1;1
34;0.079136;100;1;1
35;0.078480;100;1;1
36;0.078548;100;1;1
37;0.077262;100;1;1
38;0.078435;100;1;1
39;0.076862;100;1;1
40;0.078431;100;1;1
41;0.076581;100;1;1
42;0.078086;100;1;1
43;0.076201;100;1;1
44;0.079019;100;1;1
45;0.078005;100;1;1
46;0.077341;100;1;1
47;0.077331;100;1;1
48;0.075475;100;1;1
49;0.078379;100;1;1
50;0.078058;100;1;1
51;0.077143;100;1;1
52;0.080159;100;1;1
53;0.075819;100;1;1
54;0.077781;100;1;1
55;0.081229;100;1;1
56;0.080848;100;1;1
57;0.079904;100;1;1
58;0.078144;100;1;1
59;0.078418;100;1;1
60;0.077872;100;1;1
61;0.076667;100;1;1
62;0.079242;100;1;1
63;0.078075;100;1;1
64;0.081060;100;1;1
65;0.079531;100;1;1
66;0.083808;100;1;1
67;0.081004;100;1;1
68;0.079893;100;1;1
69;0.076809;100;1;1
70;0.076367;100;1;1
71;0.077462;100;1;1
72;0.042323;100;10;1
73;0.037791;100;10;1
74;0.040705;100;10;1
75;0.041066;100;10;1
76;0.042585;100;10;1
77;0.038294;100;10;1
78;0.039170;100;10;1
79;0.040414;100;10;1
80;0.043023;100;10;1
81;0.042796;100;10;1
82;0.231911;100;10;1
83;0.040747;100;10;1
84;0.039719;100;10;1
85;0.039567;100;10;1
86;0.041374;100;10;1
87;0.039588;100;10;1
88;0.041588;100;10;1
89;0.043387;100;10;1
90;0.038728;100;10;1
91;0.040505;100;10;1
92;0.041508;100;10;1
93;0.041194;100;10;1
94;0.040304;100;10;1
95;0.044339;100;10;1
96;0.046877;100;10;1
97;0.038663;100;10;1
98;0.045023;100;10;1
99;0.041281;100;10;1
100;0.046201;100;10;1
101;0.044748;100;10;1
102;0.047660;100;10;1
103;0.041134;100;10;1
104;0.044599;100;10;1
105;0.040995;100;10;1
106;0.040530;100;10;1
107;0.039259;100;10;1
108;0.038647;100;10;1
109;0.038667;100;10;1
110;0.045298;100;10;1
111;0.042342;100;10;1
112;0.046648;100;10;1
113;0.044601;100;10;1
114;0.047309;100;10;1
115;0.040447;100;10;1
116;0.226967;100;10;1
117;0.037714;100;10;1
118;0.040081;100;10;1
119;0.039765;100;10;1
120;0.040969;100;10;1
121;0.039881;100;10;1
122;0.044498;100;10;1
123;0.040861;100;10;1
124;0.042799;100;10;1
125;0.045621;100;10;1
126;0.042461;100;10;1
127;0.070083;100;10;1
128;0.042639;100;10;1
129;0.052998;100;10;1
130;0.044785;100;10;1
131;0.044767;100;10;1
132;0.043080;100;10;1
133;0.044941;100;10;1
134;0.043952;100;10;1
135;0.045601;100;10;1
136;0.041564;100;10;1
137;0.045689;100;10;1
138;0.041136;100;10;1
139;0.043657;100;10;1
140;0.043978;100;10;1
141;0.039692;100;10;1
142;0.041549;100;10;1
143;0.050333;100;10;1
144;0.040981;100;10;1
145;0.043507;100;10;1
146;0.042853;100;10;1
147;0.047807;100;10;1
148;0.039648;100;10;1
149;0.044437;100;10;1
150;0.039832;100;10;1
151;0.045973;100;10;1
152;0.039979;100;10;1
153;0.229386;100;10;1
154;0.039738;100;10;1
155;0.039398;100;10;1
156;0.038043;100;10;1
157;0.045122;100;10;1
158;0.046612;100;10;1
159;0.041248;100;10;1
160;0.044054;100;10;1
161;0.040512;100;10;1
162;0.044856;100;10;1
163;0.044396;100;10;1
164;0.043791;100;10;1
165;0.042366;100;10;1
166;0.041536;100;10;1
167;0.039569;100;10;1
168;0.042529;100;10;1
169;0.039029;100;10;1
170;0.116258;100;1;2
171;0.100687;100;1;2
172;0.094254;100;1;2
173;0.128486;100;1;2
174;0.108758;100;10;2
175;0.118484;100;10;2
176;0.094845;100;10;2
177;0.071415;100;10;2
178;0.232640;100;10;2
179;0.164489;100;10;2
180;0.134641;100;10;2
181;0.113112;100;10;2
182;0.124192;100;10;2
183;0.171087;100;10;2
184;0.160431;100;10;2
185;0.161602;100;10;2
186;0.109268;100;10;2
187;0.114030;100;10;2
188;0.133417;100;10;2
189;0.134848;100;10;2
190;0.378540;100;10;2
191;0.144060;100;10;2
192;0.118096;100;10;2
193;0.155016;100;10;2
194;0.117542;100;10;2
195;0.131527;100;10;2
196;0.137015;100;10;2
197;0.112686;100;10;2
198;0.230952;100;10;2
199;0.175455;100;10;2
200;0.569596;100;10;2
201;0.546161;100;10;2
202;0.294613;100;10;2
203;0.307896;100;10;2
204;0.288675;100;10;2
205;0.287823;100;10;2
206;0.237841;100;10;2
207;0.436690;100;10;2
208;0.472043;100;10;2
209;0.142689;100;10;2
210;0.415183;100;10;2
211;0.142142;100;10;2
212;0.127595;100;10;2
213;0.133725;100;10;2
214;0.202530;100;10;2
215;0.619615;100;10;2
216;0.243821;100;10;2
217;0.212862;100;10;2
218;0.394030;100;10;2
219;0.182055;100;10;2
220;0.126396;100;10;2
221;0.210842;100;10;2
222;0.224995;100;10;2
223;0.161627;100;10;2
224;0.163609;100;10;2
225;0.381564;100;10;2
226;0.119304;100;10;2
227;0.145852;100;10;2
228;0.118899;100;10;2
229;0.260510;100;10;2
230;0.099947;100;10;2
231;0.114333;100;10;2
232;0.158941;100;10;2
233;0.112168;100;10;2
234;0.339387;100;10;2
235;0.184156;100;10;2
236;0.354726;100;10;2
237;0.134833;100;10;2
238;0.149933;100;10;2
239;0.095209;100;10;2
240;0.143802;100;10;2
241;0.247331;100;10;2
242;0.128100;100;10;2
243;0.112766;100;10;2
244;0.181912;100;10;2
245;0.357623;100;10;2
246;0.292197;100;10;2
247;0.204586;100;10;2
248;0.155356;100;10;2
249;0.189181;100;10;2
250;0.190361;100;10;2
251;0.130079;100;10;2
252;0.379371;100;10;2
253;0.097060;100;10;2
254;0.128589;100;10;2
255;0.381037;100;10;2
256;0.112639;100;10;2
257;0.167346;100;10;2
258;0.129175;100;10;2
259;0.135804;100;10;2
260;0.127187;100;10;2
261;0.103239;100;10;2
262;0.183146;100;10;2
263;0.131428;100;10;2
264;0.323748;100;10;2
265;0.256795;100;10;2
266;0.105596;100;10;2
267;0.120652;100;10;2
268;0.414971;100;10;2
269;0.135129;100;10;2
270;0.141922;100;10;2
271;0.165424;100;10;2
272;0.128443;100;10;2
273;0.234353;100;10;2
274;0.194008;100;10;2
275;0.281143;100;10;2
276;0.121720;100;10;2
277;0.115140;100;10;2
278;0.101747;100;1;2
279;0.106268;100;1;2
280;0.117873;100;1;2
281;0.117153;100;1;2
282;0.130464;100;1;2
283;0.147563;100;1;2
284;0.111323;100;1;2
285;0.113521;100;1;2
286;0.132369;100;1;2
287;0.125199;100;1;2
288;0.165261;100;1;2
289;0.149711;100;1;2
290;0.117095;100;1;2
291;0.169647;100;1;2
292;0.146406;100;1;2
293;0.107181;100;1;2
294;0.114033;100;1;2
295;0.142325;100;1;2
296;0.115926;100;1;2
297;0.180086;100;1;2
298;0.148299;100;1;2
299;0.135475;100;1;2
300;0.105969;100;1;2
301;0.166544;100;1;2
302;0.147285;100;1;2
303;0.152581;100;1;2
304;0.126914;100;1;2
305;0.149732;100;1;2
306;0.128035;100;1;2
307;0.105105;100;1;2
308;0.195438;100;1;2
309;0.103615;100;1;2
310;0.133173;100;1;2
311;0.117844;100;1;2
312;0.095985;100;1;2
313;0.100526;100;1;2
314;0.132778;100;1;2
315;0.093404;100;1;2
316;0.123096;100;1;2
317;0.095760;100;1;2
318;0.109689;100;1;2
319;0.101256;100;1;2
320;0.105077;100;1;2
321;0.098253;100;1;2
322;0.100506;100;1;2
323;0.156923;100;1;2
324;0.179122;100;1;2
325;0.243275;100;1;2
326;0.135770;100;1;2
327;0.126018;100;1;2
328;0.094672;100;1;2
329;0.095187;100;1;2
330;0.171994;100;1;2
331;0.115352;100;1;2
332;0.128867;100;1;2
333;0.152603;100;1;2
334;0.127448;100;1;2
335;0.103626;100;1;2
336;0.137437;100;1;2
337;0.133558;100;1;2
338;0.135692;100;1;2
339;0.210412;100;1;2
340;0.175489;100;1;2
341;0.148514;100;1;2
342;0.158585;100;1;2
343;0.143381;100;1;2
344;0.150889;100;1;2
345;0.097082;100;1;2
346;0.093615;100;1;2
347;0.092883;100;1;2
348;0.091333;100;1;2
349;0.103519;100;1;2
350;0.096280;100;1;2
351;0.101716;100;1;2
352;0.095950;100;1;2
353;0.092364;100;1;2
354;0.098192;100;1;2
355;0.093805;100;1;2
356;0.094587;100;1;2
357;0.108949;100;1;2
358;0.143531;100;1;2
359;0.122935;100;1;2
360;0.315743;100;1;2
361;0.092078;100;1;2
362;0.111534;100;1;2
363;0.100651;100;1;2
364;0.096980;100;1;2
365;0.092598;100;1;2
366;0.111421;100;1;2
367;0.111227;100;1;2
368;0.102412;100;1;2
369;0.113961;100;1;2
370;0.099161;100;1;2
371;0.103584;100;1;2
372;0.094964;100;1;2
373;0.092917;100;1;2
374;0.095335;100;1;2
375;0.102657;100;1;2
376;0.093715;100;1;2
377;0.104153;100;1;2
378;0.126048;1000;1;2
379;0.129938;1000;1;2
380;0.114716;1000;1;2
381;0.113461;1000;1;2
382;0.127645;1000;1;2
383;0.115522;1000;1;2
384;0.116196;1000;1;2
385;0.115579;1000;1;2
386;0.118970;1000;1;2
387;0.116452;1000;1;2
388;0.117460;1000;1;2
389;0.117757;1000;1;2
390;0.114806;1000;1;2
391;0.117676;1000;1;2
392;0.118588;1000;1;2
393;0.116746;1000;1;2
394;0.114072;1000;1;2
395;0.116185;1000;1;2
396;0.115261;1000;1;2
397;0.117796;1000;1;2
398;0.114849;1000;1;2
399;0.114129;1000;1;2
400;0.119951;1000;1;2
401;0.113022;1000;1;2
402;0.114773;1000;1;2
403;0.113199;1000;1;2
404;0.119002;1000;1;2
405;0.114569;1000;1;2
406;0.114417;1000;1;2
407;0.119441;1000;1;2
408;0.112680;1000;1;2
409;0.113172;1000;1;2
410;0.114077;1000;1;2
411;0.112736;1000;1;2
412;0.120484;1000;1;2
413;0.115825;1000;1;2
414;0.117208;1000;1;2
415;0.128948;1000;1;2
416;0.121694;1000;1;2
417;0.117355;1000;1;2
418;0.117788;1000;1;2
419;0.122088;1000;1;2
420;0.115746;1000;1;2
421;0.123307;1000;1;2
422;0.114268;1000;1;2
423;0.117579;1000;1;2
424;0.114667;1000;1;2
425;0.113011;1000;1;2
426;0.115063;1000;1;2
427;0.115379;1000;1;2
428;0.119441;1000;1;2
429;0.114380;1000;1;2
430;0.115920;1000;1;2
431;0.114214;1000;1;2
432;0.114867;1000;1;2
433;0.113856;1000;1;2
434;0.115050;1000;1;2
435;0.113604;1000;1;2
436;0.113763;1000;1;2
437;0.113444;1000;1;2
438;0.129375;1000;1;2
439;0.200756;1000;1;2
440;0.162363;1000;1;2
441;0.242900;1000;1;2
442;0.145593;1000;1;2
443;0.200726;1000;1;2
444;0.203168;1000;1;2
445;0.211281;1000;1;2
446;0.162819;1000;1;2
447;0.302344;1000;1;2
448;0.195690;1000;1;2
449;0.139195;1000;1;2
450;0.184708;1000;1;2
451;0.344698;1000;1;2
452;0.333259;1000;1;2
453;0.242134;1000;1;2
454;0.156164;1000;1;2
455;0.173631;1000;1;2
456;0.174011;1000;1;2
457;0.157604;1000;1;2
458;0.165601;1000;1;2
459;0.160642;1000;1;2
460;0.145078;1000;1;2
461;0.167963;1000;1;2
462;0.186681;1000;1;2
463;0.144803;1000;1;2
464;0.142559;1000;1;2
465;0.229097;1000;1;2
466;0.162209;1000;1;2
467;0.186456;1000;1;2
468;0.183201;1000;1;2
469;0.209299;1000;1;2
470;0.160470;1000;1;2
471;0.425815;1000;1;2
472;0.166051;1000;1;2
473;0.228678;1000;1;2
474;0.174900;1000;1;2
475;0.153260;1000;1;2
476;0.127557;1000;1;2
477;0.125582;1000;1;2
478;0.128865;1000;10;2
479;0.123412;1000;10;2
480;0.111827;1000;10;2
481;0.133723;1000;10;2
482;0.133773;1000;10;2
483;0.388319;1000;10;2
484;0.109730;1000;10;2
485;0.110968;1000;10;2
486;0.291147;1000;10;2
487;0.107935;1000;10;2
488;0.239498;1000;10;2
489;0.110586;1000;10;2
490;0.193076;1000;10;2
491;0.395063;1000;10;2
492;0.164176;1000;10;2
493;0.114191;1000;10;2
494;0.156798;1000;10;2
495;0.127926;1000;10;2
496;0.311910;1000;10;2
497;0.121293;1000;10;2
498;0.118959;1000;10;2
499;0.174404;1000;10;2
500;0.182557;1000;10;2
501;0.124507;1000;10;2
502;0.135767;1000;10;2
503;0.170359;1000;10;2
504;0.152447;1000;10;2
505;0.286832;1000;10;2
506;0.218348;1000;10;2
507;0.221174;1000;10;2
508;0.113101;1000;10;2
509;0.154030;1000;10;2
510;0.111537;1000;10;2
511;0.117788;1000;10;2
512;0.115796;1000;10;2
513;0.112283;1000;10;2
514;0.112190;1000;10;2
515;0.116738;1000;10;2
516;0.137381;1000;10;2
517;0.111623;1000;10;2
518;0.113378;1000;10;2
519;0.122375;1000;10;2
520;0.117329;1000;10;2
521;0.107373;1000;10;2
522;0.111417;1000;10;2
523;0.158639;1000;10;2
524;0.395673;1000;10;2
525;0.334162;1000;10;2
526;0.141764;1000;10;2
527;0.250044;1000;10;2
528;0.054754;1000;10;1
529;0.049566;1000;10;1
530;0.051449;1000;10;1
531;0.051961;1000;10;1
532;0.054269;1000;10;1
533;0.052683;1000;10;1
534;0.059364;1000;10;1
535;0.049346;1000;10;1
536;0.055531;1000;10;1
537;0.055656;1000;10;1
538;0.056310;1000;10;1
539;0.052755;1000;10;1
540;0.052849;1000;10;1
541;0.049949;1000;10;1
542;0.061174;1000;10;1
543;0.215146;1000;10;1
544;0.051052;1000;10;1
545;0.050064;1000;10;1
546;0.056128;1000;10;1
547;0.051478;1000;10;1
548;0.051528;1000;10;1
549;0.058332;1000;10;1
550;0.057176;1000;10;1
551;0.051990;1000;10;1
552;0.059930;1000;10;1
553;0.051010;1000;10;1
554;0.069482;1000;10;1
555;0.065799;1000;10;1
556;0.051169;1000;10;1
557;0.053516;1000;10;1
558;0.052425;1000;10;1
559;0.055527;1000;10;1
560;0.053296;1000;10;1
561;0.056336;1000;10;1
562;0.050995;1000;10;1
563;0.055212;1000;10;1
564;0.060845;1000;10;1
565;0.053024;1000;10;1
566;0.050576;1000;10;1
567;0.051035;1000;10;1
568;0.050900;1000;10;1
569;0.058714;1000;10;1
570;0.053970;1000;10;1
571;0.052602;1000;10;1
572;0.220762;1000;10;1
573;0.052942;1000;10;1
574;0.053061;1000;10;1
575;0.052721;1000;10;1
576;0.052660;1000;10;1
577;0.062932;1000;10;1
578;0.053770;1000;10;1
579;0.054290;1000;10;1
580;0.049628;1000;10;1
581;0.055260;1000;10;1
582;0.052774;1000;10;1
583;0.100506;1000;1;1
584;0.098336;1000;1;1
585;0.097921;1000;1;1
586;0.098876;1000;1;1
587;0.098342;1000;1;1
588;0.099510;1000;1;1
589;0.098405;1000;1;1
590;0.099046;1000;1;1
591;0.098122;1000;1;1
592;0.095327;1000;1;1
593;0.097334;1000;1;1
594;0.097579;1000;1;1
595;0.098423;1000;1;1
596;0.099420;1000;1;1
597;0.098559;1000;1;1
598;0.099535;1000;1;1
599;0.098925;1000;1;1
600;0.099940;1000;1;1
601;0.100004;1000;1;1
602;0.101648;1000;1;1
603;0.100763;1000;1;1
604;0.096368;1000;1;1
605;0.095683;1000;1;1
606;0.101587;1000;1;1
607;0.103192;1000;1;1
608;0.101821;1000;1;1
609;0.097065;1000;1;1
610;0.094653;1000;1;1
611;0.095409;1000;1;1
612;0.094891;1000;1;1
613;0.098827;1000;1;1
614;0.097961;1000;1;1
615;0.098721;1000;1;1
616;0.099048;1000;1;1
617;0.099156;1000;1;1
618;0.099286;1000;1;1
619;0.099037;1000;1;1
620;0.097705;1000;1;1
621;0.097251;1000;1;1
622;0.094775;1000;1;1
623;0.097988;1000;1;1
624;0.098903;1000;1;1
625;0.098492;1000;1;1
626;0.098838;1000;1;1
627;0.099663;1000;1;1
628;0.099034;1000;1;1
629;0.098749;1000;1;1
630;0.099096;1000;1;1
631;0.097514;1000;1;1
632;0.099533;1000;1;1
633;0.098609;1000;1;1
634;0.095810;1000;1;1
635;0.096174;1000;1;1
636;0.099070;1000;1;1
637;0.098682;1000;1;1
638;0.099822;1000;1;1
639;0.099171;1000;1;1
640;0.104302;1000;1;1
641;0.103170;1000;1;1
642;0.103880;1000;1;1
643;0.103089;1000;1;1
644;0.104271;1000;1;1
645;0.102864;1000;1;1
646;0.103755;1000;1;1
647;0.101915;1000;1;1
648;0.098427;1000;1;1
649;0.095914;1000;1;1
650;0.098800;1000;1;1
651;0.099651;1000;1;1
652;0.097804;1000;1;1
653;0.098360;1000;1;1
654;0.098523;1000;1;1
655;0.100134;1000;1;1
656;0.099584;1000;1;1
657;0.099204;1000;1;1
658;0.099127;1000;1;1
659;0.098701;1000;1;1
660;0.098606;1000;1;1
661;0.098549;1000;1;1
662;0.098834;1000;1;1
663;0.098868;1000;1;1
664;0.094944;1000;1;1
665;0.098597;1000;1;1
666;0.099845;1000;1;1
667;0.098485;1000;1;1
668;0.099094;1000;1;1
669;0.098745;1000;1;1
670;0.099050;1000;1;1
671;0.098348;1000;1;1
672;0.099119;1000;1;1
673;0.098647;1000;1;1
674;0.100668;1000;1;1
675;0.099432;1000;1;1
676;0.095042;1000;1;1
677;0.099225;1000;1;1